item,price,high_alch,low_alch
Adamant platebody (h3),9739.0,9984.0,6656.0
Adamant platebody (h4),9482.0,9984.0,6656.0
Adamant platebody (h5),9422.0,9984.0,6656.0
Adamant platebody (t),9441.0,9984.0,6656.0
Adamant platelegs,3494.0,3840.0,2560.0
Adamant platelegs (g),5749.0,3840.0,2560.0
Adamant platelegs (t),4120.0,3840.0,2560.0
Adamant plateskirt,3513.0,3840.0,2560.0
Adamant plateskirt (g),3492.0,3840.0,2560.0
Adamant plateskirt (t),3582.0,3840.0,2560.0
Adamant scimitar,1445.0,1536.0,1024.0
Adamant seeds,231.0,180.0,120.0
Adamant set (lg),18319.0,4800.0,3200.0
Adamant set (sk),20573.0,4800.0,3200.0
Adamant shield (h1),3002.0,3264.0,2176.0
Adamant shield (h2),3079.0,3264.0,2176.0
Adamant shield (h3),2892.0,3264.0,2176.0
Adamant shield (h4),2910.0,3264.0,2176.0
Adamant shield (h5),2794.0,3264.0,2176.0
Adamant spear,861.0,1248.0,832.0
Adamant spear(p),856.0,1248.0,832.0
Adamant spear(p+),2089.0,1248.0,832.0
Adamant spear(p++),6859.0,1248.0,832.0
Adamant sq shield,1946.0,2304.0,1536.0
Adamant sword,1059.0,1248.0,832.0
Adamant thrownaxe,338.0,105.0,70.0
Adamant trimmed set (lg),32987.0,4800.0,3200.0
Adamant trimmed set (sk),34465.0,4800.0,3200.0
Adamant warhammer,2657.0,2472.0,1648.0
Adamantite bar,1899.0,384.0,256.0
Adamantite limbs,1720.0,960.0,640.0
Adamantite nails,117.0,27.0,18.0
Adamantite ore,1033.0,240.0,160.0
Admiral pie,143.0,186.0,124.0
Afro,80336.0,410.0,273.0
Agility mix(1),490.0,30.0,20.0
Agility mix(2),246.0,60.0,40.0
Agility potion(1),92.0,30.0,20.0
Agility potion(2),176.0,60.0,40.0
Agility potion(3),154.0,90.0,60.0
Agility potion(4),331.0,120.0,80.0
Ahrim's armour set,7221250.0,120000.0,80000.0
Ahrim's hood,261071.0,7800.0,5200.0
Ahrim's hood 0,233068.0,7800.0,5200.0
Ahrim's robeskirt,2910500.0,28200.0,18800.0
Ahrim's robeskirt 0,2789479.0,28200.0,18800.0
Ahrim's robetop,3714238.0,30000.0,20000.0
Ahrim's robetop 0,3576496.0,30000.0,20000.0
Ahrim's staff,208913.0,51000.0,34000.0
Ahrim's staff 0,142274.0,51000.0,34000.0
Air battlestaff,9023.0,9300.0,6200.0
Air orb,1198.0,180.0,120.0
Air rune,5.0,2.0,1.0
Air talisman,118.0,2.0,1.0
Air tiara,17.0,60.0,40.0
Airtight pot,1435.0,6.0,4.0
Aldarium,55538.0,60.0,40.0
Ale of the gods,440228.0,510.0,340.0
Ale yeast,1044.0,1.0,1.0
Amethyst,3559.0,2340.0,1560.0
Amethyst arrow,178.0,294.0,196.0
Amethyst arrow(p),363.0,294.0,196.0
Amethyst arrow(p+),583.0,294.0,196.0
Amethyst arrow(p++),1081.0,294.0,196.0
Amethyst arrowtips,236.0,147.0,98.0
Amethyst bolt tips,215.0,96.0,64.0
Amethyst broad bolts,239.0,144.0,96.0
Amethyst dart,190.0,240.0,160.0
Amethyst dart tip,456.0,120.0,80.0
Amethyst dart(p),493.0,240.0,160.0
Amethyst dart(p+),612.0,240.0,160.0
Amethyst dart(p++),1023.0,240.0,160.0
Amethyst javelin,237.0,252.0,168.0
Amethyst javelin heads,741.0,912.0,608.0
Amethyst javelin(p),903.0,252.0,168.0
Amethyst javelin(p+),999.0,252.0,168.0
Amethyst javelin(p++),1460.0,252.0,168.0
Amulet mould,479.0,3.0,2.0
Amulet of accuracy,1245.0,60.0,40.0
Amulet of avarice,411440.0,27000.0,18000.0
Amulet of bounty,676.0,540.0,360.0
Amulet of chemistry,1570.0,630.0,420.0
Amulet of defence,969.0,765.0,510.0
Amulet of defence (t),5553.0,765.0,510.0
Amulet of eternal glory,49025019.0,10575.0,7050.0
Amulet of fury,2779226.0,121200.0,80800.0
Amulet of glory,12260.0,10575.0,7050.0
Amulet of glory (t),60580.0,10575.0,7050.0
Amulet of glory (t4),52482.0,10575.0,7050.0
Amulet of glory (t6),77167.0,10575.0,7050.0
Amulet of glory(4),12127.0,10575.0,7050.0
Amulet of glory(6),11499.0,10575.0,7050.0
Amulet of magic,734.0,540.0,360.0
Amulet of magic (t),19162.0,540.0,360.0
Amulet of power,2245.0,2115.0,1410.0
Amulet of power (t),680716.0,2415.0,1610.0
Amulet of rancour,95309983.0,240000.0,160000.0
Amulet of strength,1423.0,1215.0,810.0
Amulet of the damned (full),34264.0,34800.0,23200.0
Amulet of torture,22869342.0,121200.0,80800.0
Amylase crystal,1023.0,12.0,8.0
Ancestral hat,42433306.0,27000.0,18000.0
Ancestral robe bottom,99135491.0,48000.0,32000.0
Ancestral robe top,130049904.0,72000.0,48000.0
Ancestral robes set,273373794.0,87000.0,58000.0
Anchovies,43.0,9.0,6.0
Anchovy pizza,718.0,36.0,24.0
Ancient blessing,7243.0,48.0,32.0
Ancient bracers,75376.0,2400.0,1600.0
Ancient brew(1),620.0,75.0,50.0
Ancient brew(2),1090.0,90.0,60.0
Ancient brew(3),1491.0,105.0,70.0
Ancient brew(4),2229.0,120.0,80.0
Ancient ceremonial boots,23168.0,24000.0,16000.0
Ancient ceremonial gloves,23207.0,24000.0,16000.0
Ancient ceremonial legs,47261.0,48000.0,32000.0
Ancient ceremonial mask,29554.0,30000.0,20000.0
Ancient ceremonial top,58945.0,60000.0,40000.0
Ancient chaps,334179.0,3600.0,2400.0
Ancient cloak,40252.0,1200.0,800.0
Ancient coif,108256.0,1200.0,800.0
Ancient crozier,6444.0,3000.0,2000.0
Ancient crystal,150560.0,150000.0,100000.0
Ancient d'hide body,170782.0,7800.0,5200.0
Ancient d'hide boots,551926.0,5580.0,3720.0
Ancient d'hide shield,369981.0,17000.0,11333.0
Ancient dragonhide set,725330.0,5700.0,3800.0
Ancient effigy,7972440.0,4800000.0,3200000.0
Ancient emblem,500754.0,300000.0,200000.0
Ancient essence,10.0,1.0,1.0
Ancient full helm,56413.0,21120.0,14080.0
Ancient godsword,35037404.0,750000.0,500000.0
Ancient hilt,35238519.0,300000.0,200000.0
Ancient kiteshield,58490.0,32640.0,21760.0
Ancient mace,5901.0,600.0,400.0
Ancient medallion,3990945.0,2400000.0,1600000.0
Ancient mitre,23529.0,3000.0,2000.0
Ancient mix(1),767.0,75.0,50.0
Ancient mix(2),1395.0,90.0,60.0
Ancient page 1,2650.0,240.0,160.0
Ancient page 2,2598.0,240.0,160.0
Ancient page 3,3185.0,240.0,160.0
Ancient page 4,2300.0,240.0,160.0
Ancient platebody,43138.0,39000.0,26000.0
Ancient platelegs,42208.0,38400.0,25600.0
Ancient plateskirt,38595.0,38400.0,25600.0
Ancient relic,15967942.0,9600000.0,6400000.0
Ancient robe legs,44215.0,4200.0,2800.0
Ancient robe top,54442.0,4200.0,2800.0
Ancient rune armour set (lg),236257.0,48000.0,32000.0
Ancient rune armour set (sk),248912.0,48000.0,32000.0
Ancient staff,72910.0,60000.0,40000.0
Ancient statuette,1996210.0,1200000.0,800000.0
Ancient stole,3533.0,1500.0,1000.0
Ancient totem,998450.0,600000.0,400000.0
Ancient wyvern shield,32265668.0,1200000.0,800000.0
Anglerfish,1693.0,270.0,180.0
Anguish ornament kit,5505365.0,3000.0,2000.0
Ankou gloves,4741537.0,1.0,1.0
Ankou mask,16727645.0,1.0,1.0
Ankou socks,6536135.0,1.0,1.0
Ankou top,31609412.0,1.0,1.0
Ankou's leggings,10042721.0,1.0,1.0
Annakarl teleport (tablet),1817.0,1.0,1.0
Anti-dragon shield,111.0,12.0,8.0
Anti-poison supermix(1),468.0,86.0,57.0
Anti-poison supermix(2),948.0,129.0,86.0
Anti-venom(1),3072.0,66.0,44.0
Anti-venom(2),6075.0,132.0,88.0
Anti-venom(3),7850.0,198.0,132.0
Anti-venom(4),11129.0,264.0,176.0
Anti-venom+(1),3484.0,66.0,44.0
Anti-venom+(2),6816.0,133.0,88.0
Anti-venom+(3),10639.0,199.0,133.0
Anti-venom+(4),13680.0,266.0,177.0
Antidote+ mix(1),1151.0,86.0,57.0
Antidote+ mix(2),1522.0,129.0,86.0
Antidote+(1),748.0,86.0,57.0
Antidote+(2),1313.0,129.0,86.0
Antidote+(3),2022.0,172.0,115.0
Antidote+(4),2142.0,216.0,144.0
Antidote++(1),1817.0,86.0,57.0
Antidote++(2),3327.0,129.0,86.0
Antidote++(3),5646.0,172.0,115.0
Antidote++(4),7993.0,216.0,144.0
Antifire mix(1),171.0,79.0,52.0
Antifire mix(2),150.0,118.0,79.0
Antifire potion(1),205.0,79.0,52.0
Antifire potion(2),434.0,118.0,79.0
Antifire potion(3),714.0,158.0,105.0
Antifire potion(4),1033.0,198.0,132.0
Antipoison mix(1),246.0,86.0,57.0
Antipoison mix(2),159.0,129.0,86.0
Antipoison(1),58.0,86.0,57.0
Antipoison(2),113.0,129.0,86.0
Antipoison(3),216.0,172.0,115.0
Antipoison(4),304.0,216.0,144.0
Ape atoll teleport (tablet),3005.0,1.0,1.0
Apple mush,533.0,7.0,5.0
Apple pie,88.0,18.0,12.0
Apple sapling,396.0,1.0,1.0
Apple tree seed,31.0,7.0,5.0
Apples(5),642.0,1.0,1.0
Apprentice wand,757344.0,900.0,600.0
Aranea boots,8780052.0,90000.0,60000.0
Araxyte venom sack,1611.0,300.0,200.0
Arcane prayer scroll,1258574.0,48000.0,32000.0
Arcane sigil,146775923.0,450000.0,300000.0
Arcane spirit shield,146669545.0,1200000.0,800000.0
Arceuus banner,1818.0,42.0,28.0
Arceuus hood,2480.0,1.0,1.0
Arceuus library teleport (tablet),1951.0,1.0,1.0
Arceuus scarf,6007.0,6000.0,4000.0
Archer helm,43033.0,36000.0,24000.0
Archer icon,3318436.0,1.0,1.0
Archers ring,2957866.0,6000.0,4000.0
Archery ticket,11.0,15.0,10.0
Arctic pine logs,484.0,21.0,14.0
Arctic pyre logs,2448.0,120.0,80.0
Ardougne teleport (tablet),454.0,1.0,1.0
Arena book,1217.0,1.0,1.0
Armadyl bracers,69460.0,2400.0,1600.0
Armadyl chainskirt,30282096.0,173940.0,115960.0
Armadyl chaps,374661.0,3600.0,2400.0
Armadyl chestplate,40435854.0,174000.0,116000.0
Armadyl cloak,47479.0,1200.0,800.0
Armadyl coif,100595.0,1200.0,800.0
Armadyl crossbow,55858297.0,594000.0,396000.0
Armadyl crozier,5127.0,3000.0,2000.0
Armadyl d'hide body,168744.0,7800.0,5200.0
Armadyl d'hide boots,673003.0,5580.0,3720.0
Armadyl d'hide shield,618479.0,17000.0,11333.0
Armadyl dragonhide set,774849.0,5700.0,3800.0
Armadyl full helm,27638.0,21120.0,14080.0
Armadyl godsword,11079746.0,750000.0,500000.0
Armadyl godsword ornament kit,140534.0,3000.0,2000.0
Armadyl helmet,10046527.0,173400.0,115600.0
Armadyl hilt,10427910.0,300000.0,200000.0
Armadyl kiteshield,36602.0,32640.0,21760.0
Armadyl mitre,22369.0,3000.0,2000.0
Armadyl page 1,3738.0,240.0,160.0
Armadyl page 2,2601.0,240.0,160.0
Armadyl page 3,2897.0,240.0,160.0
Armadyl page 4,2873.0,240.0,160.0
Armadyl platebody,40113.0,39000.0,26000.0
Armadyl platelegs,39710.0,38400.0,25600.0
Armadyl plateskirt,37842.0,38400.0,25600.0
Armadyl robe legs,33795.0,4200.0,2800.0
Armadyl robe top,49474.0,4200.0,2800.0
Armadyl rune armour set (lg),177597.0,48000.0,32000.0
Armadyl rune armour set (sk),175302.0,48000.0,32000.0
Armadyl stole,13248.0,1500.0,1000.0
Armadylean plate,10429636.0,1.0,1.0
Armageddon cape fabric,51446057.0,1.0,1.0
Armageddon rug,24352379.0,1.0,1.0
Armageddon teleport scroll,19324311.0,1.0,1.0
Armageddon weapon scroll,99335915.0,1.0,1.0
Arrow shaft,1.0,1.0,1.0
Asgarnian ale,79.0,1.0,1.0
Asgarnian ale (flatpack),9082.0,6.0,4.0
Asgarnian ale(4),35421.0,1.0,1.0
Asgarnian ale(m),18647.0,1.0,1.0
Asgarnian ale(m4),5104.0,1.0,1.0
Asgarnian hops,267.0,3.0,2.0
Asgarnian seed,5.0,1.0,1.0
Ashes,82.0,1.0,1.0
Assorted flowers,256.0,60.0,40.0
Astral rune,164.0,30.0,20.0
Asyn remains,4740.0,1.0,1.0
Atlatl dart,203.0,294.0,196.0
Attack mix(1),161.0,3.0,2.0
Attack mix(2),75.0,5.0,3.0
Attack potion(1),3.0,3.0,2.0
Attack potion(2),6.0,5.0,3.0
Attack potion(3),6.0,7.0,4.0
Attack potion(4),14.0,9.0,6.0
Avantoe,2394.0,28.0,19.0
Avantoe potion (unf),2512.0,28.0,19.0
Avantoe seed,873.0,4.0,3.0
Avernic defender hilt,41557504.0,1500000.0,1000000.0
Awakener's orb,1015733.0,45000.0,30000.0
Axeman's folly,2087.0,1.0,1.0
Axeman's folly(4),17439.0,1.0,1.0
Axeman's folly(m),45773.0,1.0,1.0
Axeman's folly(m4),235562.0,1.0,1.0
Baby impling jar,1629.0,30.0,20.0
Babydragon bones,1189.0,1.0,1.0
Bag of salt,19.0,6.0,4.0
Bagged bluebells,16785.0,9000.0,6000.0
Bagged daffodils,10837.0,6000.0,4000.0
Bagged dead tree,1497.0,600.0,400.0
Bagged flower,5959.0,3000.0,2000.0
Bagged magic tree,53003.0,30000.0,20000.0
Bagged maple tree,17855.0,9000.0,6000.0
Bagged marigolds,11338.0,6000.0,4000.0
Bagged nice tree,3049.0,1200.0,800.0
Bagged oak tree,6695.0,3000.0,2000.0
Bagged plant 1,1779.0,600.0,400.0
Bagged plant 2,6269.0,3000.0,2000.0
Bagged plant 3,12164.0,6000.0,4000.0
Bagged roses,17515.0,9000.0,6000.0
Bagged sunflower,6650.0,3000.0,2000.0
Bagged willow tree,12535.0,6000.0,4000.0
Bagged yew tree,21670.0,12000.0,8000.0
Baked potato,226.0,2.0,1.0
Ball of wool,49.0,1.0,1.0
Ballista limbs,29672.0,30000.0,20000.0
Ballista spring,29691.0,30000.0,20000.0
Banana,83.0,1.0,1.0
Banana sapling,202.0,1.0,1.0
Banana stew,34.0,180.0,120.0
Banana tree seed,29.0,12.0,8.0
Bananas(5),508.0,1.0,1.0
Bandana eyepatch (blue),481.0,60.0,40.0
Bandana eyepatch (brown),1753.0,60.0,40.0
Bandana eyepatch (red),498.0,60.0,40.0
Bandana eyepatch (white),653.0,60.0,40.0
Bandit's brew,2231.0,300.0,200.0
Bandos boots,190625.0,173406.0,115604.0
Bandos bracers,77747.0,2400.0,1600.0
Bandos chaps,277918.0,3600.0,2400.0
Bandos chestplate,25160959.0,174006.0,116004.0
Bandos cloak,93542.0,1200.0,800.0
Bandos coif,100105.0,1200.0,800.0
Bandos crozier,5277.0,3000.0,2000.0
Bandos d'hide body,156589.0,7800.0,5200.0
Bandos d'hide boots,360185.0,5580.0,3720.0
Bandos d'hide shield,331803.0,17000.0,11333.0
Bandos dragonhide set,709895.0,5700.0,3800.0
Bandos full helm,28400.0,21120.0,14080.0
Bandos godsword,12063500.0,750000.0,500000.0
Bandos godsword ornament kit,3387850.0,3000.0,2000.0
Bandos hilt,11360233.0,300000.0,200000.0
Bandos kiteshield,33520.0,32640.0,21760.0
Bandos mitre,21589.0,3000.0,2000.0
Bandos page 1,1461.0,240.0,160.0
Bandos page 2,1628.0,240.0,160.0
Bandos page 3,1566.0,240.0,160.0
Bandos page 4,1520.0,240.0,160.0
Bandos platebody,124059.0,39000.0,26000.0
Bandos platelegs,38227.0,38400.0,25600.0
Bandos plateskirt,38185.0,38400.0,25600.0
Bandos robe legs,37523.0,4200.0,2800.0
Bandos robe top,40310.0,4200.0,2800.0
Bandos rune armour set (lg),269783.0,48000.0,32000.0
Bandos rune armour set (sk),268530.0,48000.0,32000.0
Bandos stole,5238.0,1500.0,1000.0
Bandos tassets,16547816.0,173946.0,115964.0
Bandosian components,8105735.0,1.0,1.0
Barb bolttips,73.0,57.0,38.0
Barb-tail harpoon,391.0,21.0,14.0
Barbarian teleport (tablet),1044.0,1.0,1.0
Barbed bolts,77.0,120.0,80.0
Bark,93.0,1.0,1.0
Barley,763.0,2.0,1.0
Barley malt,1100.0,2.0,1.0
Barley seed,6.0,1.0,1.0
Barrel,890.0,1.0,1.0
Barrows teleport (tablet),2679.0,1.0,1.0
Basalt,755.0,18.0,12.0
Basilisk jaw,23695202.0,300000.0,200000.0
Basket,4.0,1.0,1.0
Bass,96.0,24.0,16.0
Bastion potion(1),5892.0,54.0,36.0
Bastion potion(2),11744.0,108.0,72.0
Bastion potion(3),18357.0,162.0,108.0
Bastion potion(4),25099.0,216.0,144.0
Bat bones,546.0,1.0,1.0
Batta tin,113.0,6.0,4.0
Battlefront teleport (tablet),1838.0,1.0,1.0
Battlemage potion(1),5980.0,54.0,36.0
Battlemage potion(2),12213.0,108.0,72.0
Battlemage potion(3),15164.0,162.0,108.0
Battlemage potion(4),23296.0,216.0,144.0
Battlestaff,8283.0,4200.0,2800.0
Beanie,17657.0,360.0,240.0
Bear feet,37802.0,600.0,400.0
Bear fur,139.0,6.0,4.0
Beer,79.0,1.0,1.0
Beer barrel (flatpack),58.0,6.0,4.0
Beer glass,51.0,1.0,1.0
Beer tankard,297.0,12.0,8.0
Beginner wand,200838.0,720.0,480.0
Belladonna seed,152.0,106.0,70.0
Bellator ring,44942527.0,1.0,1.0
Berserker helm,84680.0,36000.0,24000.0
Berserker icon,4944628.0,1.0,1.0
Berserker necklace,2739206.0,121200.0,80800.0
Berserker necklace ornament kit,5586.0,3000.0,2000.0
Berserker ring,4832903.0,6000.0,4000.0
Big bones,749.0,1.0,1.0
Big fishing net,579.0,12.0,8.0
Big pirate hat,677938.0,900.0,600.0
Binding necklace,808.0,855.0,570.0
Bird house,1100.0,3.0,2.0
Bird nest (empty),7655.0,271.0,181.0
Bird snare,13.0,3.0,2.0
Black 2h sword,933.0,1152.0,768.0
Black axe,711.0,230.0,153.0
Black battleaxe,860.0,748.0,499.0
Black bead,2308.0,2.0,1.0
Black beret,91772.0,48.0,32.0
Black boater,14761.0,135.0,90.0
Black boots,506.0,345.0,230.0
Black brutal,736.0,21.0,14.0
Black cane,20264.0,360.0,240.0
Black cape,468.0,4.0,2.0
Black cavalier,63642.0,120.0,80.0
Black chainbody,2187.0,864.0,576.0
Black chinchompa,3882.0,144.0,96.0
Black claws,6836.0,216.0,144.0
Black d'hide body,7382.0,8088.0,5392.0
Black d'hide body (g),22447.0,8088.0,5392.0
Black d'hide body (t),12978.0,8088.0,5392.0
Black d'hide chaps,4421.0,3732.0,2488.0
Black d'hide chaps (g),213239.0,3732.0,2488.0
Black d'hide chaps (t),41843.0,3732.0,2488.0
Black d'hide shield,22053.0,17000.0,11333.0
Black d'hide vambraces,2385.0,2592.0,1728.0
Black dagger,284.0,144.0,96.0
Black dagger(p),68.0,144.0,96.0
Black dagger(p+),2560.0,144.0,96.0
Black dagger(p++),3619.0,144.0,96.0
Black dart,3100.0,1.0,1.0
Black dart(p),41.0,10.0,7.0
Black dart(p+),28.0,10.0,7.0
Black dart(p++),64.0,10.0,7.0
Black demon mask,46121.0,2400.0,1600.0
Black desert robe,647.0,18.0,12.0
Black desert shirt,428.0,24.0,16.0
Black dragon leather,5224.0,66.0,44.0
Black dragon mask,74103.0,6000.0,4000.0
Black dragonhide,5016.0,90.0,60.0
Black dragonhide set,15836.0,3000.0,2000.0
Black elegant legs,6848.0,1200.0,800.0
Black elegant shirt,8838.0,1200.0,800.0
Black felling axe,8072.0,230.0,153.0
Black flowers,39594.0,60.0,40.0
Black full helm,641.0,633.0,422.0
Black full helm (g),86854.0,633.0,422.0
Black full helm (t),29889.0,633.0,422.0
Black gold-trimmed set (lg),510513.0,2700.0,1800.0
Black gold-trimmed set (sk),410263.0,2700.0,1800.0
Black halberd,3855.0,1152.0,768.0
Black headband,6061.0,24.0,16.0
Black helm (h1),3888.0,633.0,422.0
Black helm (h2),3855.0,633.0,422.0
Black helm (h3),4130.0,633.0,422.0
Black helm (h4),3644.0,633.0,422.0
Black helm (h5),4679.0,633.0,422.0
Black kiteshield,1002.0,979.0,652.0
Black kiteshield (g),140108.0,979.0,652.0
Black kiteshield (t),12663.0,979.0,652.0
Black knife,52.0,11.0,7.0
Black knife(p),283.0,10.0,7.0
Black knife(p+),171.0,10.0,7.0
Black knife(p++),1141.0,10.0,7.0
Black leprechaun hat,7550.0,3000.0,2000.0
Black locks,1773.0,1920.0,1280.0
Black longsword,302.0,576.0,384.0
Black mace,857.0,259.0,172.0
Black mask,809103.0,1800.0,1200.0
Black mask (10),783578.0,1800.0,1200.0
Black med helm,181.0,345.0,230.0
Black nails,1581.0,7.0,4.0
Black pickaxe,1868.0,87.0,58.0
Black platebody,2334.0,2304.0,1536.0
Black platebody (g),162813.0,2304.0,1536.0
Black platebody (h1),2799.0,2304.0,1536.0
Black platebody (h2),2685.0,2304.0,1536.0
Black platebody (h3),2269.0,2304.0,1536.0
Black platebody (h4),2435.0,2304.0,1536.0
Black platebody (h5),2576.0,2304.0,1536.0
Black platebody (t),30484.0,2304.0,1536.0
Black platelegs,1279.0,1152.0,768.0
Black platelegs (g),69696.0,1152.0,768.0
Black platelegs (t),18554.0,1152.0,768.0
Black plateskirt,1140.0,1152.0,768.0
Black plateskirt (g),5691.0,1152.0,768.0
Black plateskirt (t),3286.0,1152.0,768.0
Black robe,1418.0,7.0,5.0
Black salamander,323.0,120.0,80.0
Black scimitar,1599.0,460.0,307.0
Black set (lg),7609.0,2700.0,1800.0
Black set (sk),10429.0,2700.0,1800.0
Black shield (h1),2385.0,979.0,652.0
Black shield (h2),2377.0,979.0,652.0
Black shield (h3),2460.0,979.0,652.0
Black shield (h4),2072.0,979.0,652.0
Black shield (h5),3084.0,979.0,652.0
Black skirt,10.0,1.0,1.0
Black skirt (g),39993.0,1.0,1.0
Black skirt (t),32756.0,1.0,1.0
Black spear,2352.0,390.0,260.0
Black spear(p),7219.0,450.0,300.0
Black spear(p+),11040.0,450.0,300.0
Black spear(p++),10177.0,450.0,300.0
Black spiky vambraces,5068.0,2592.0,1728.0
Black sq shield,525.0,691.0,460.0
Black sword,188.0,374.0,249.0
Black tourmaline core,6997644.0,24900.0,16600.0
Black toy horsey,276.0,60.0,40.0
Black trimmed set (lg),107882.0,2700.0,1800.0
Black trimmed set (sk),91870.0,2700.0,1800.0
Black unicorn mask,24864.0,600.0,400.0
Black warhammer,396.0,588.0,392.0
Black warlock (item),435.0,42.0,28.0
Black warlock mix (1),4250.0,42.0,28.0
Black warlock mix (2),700.0,42.0,28.0
Black wizard hat (g),275606.0,1.0,1.0
Black wizard hat (t),116693.0,1.0,1.0
Black wizard robe (g),220827.0,9.0,6.0
Black wizard robe (t),68181.0,9.0,6.0
Blackbird red,332.0,180.0,120.0
Blacksmith's helm,57309.0,1800.0,1200.0
